File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Kirundi_Length
,Mbona ari ikibuye. Mbega yemwe ni nde yakinteze ?Ubwo iri buye ntiryari mu yo mwamye mushigikije urusyo ?,,,general,Je le vois comme une pierre. Qui m'a protégé ? Cette pierre n'était-elle pas dans celle que vous utilisiez pour soutenir le moulin ?,,,,,,105.0
,"Mfata inkono nkayibiragiza, bose bakarara bariye. Nshusha indya, nkabiza amazi, udukoko tubi twose tugatikira.",,,general,"J'ai pris le pot et je l'ai allumé, et ils se sont tous endormis et ont mangé. Je dessine la nourriture, je verse l'eau et tous les mauvais insectes rampent.",,,,,,110.0
,"Mpema ni umwana yitonda, kandi agamburuka. Avyuka hakiri kare, agakaraba, agaheza akaraba utwo aba arakora.",,,general,"Mpema est un enfant prudent et obéissant. Il se réveille tôt, se lave, puis regarde ce qu'il fait.",,,,,,107.0
,"Mpema nta kazi atazi gukora: umutuma gusenya, umutuma guteka, vyose nta na kimwe kimunanira. Agufatiye igiti acicira,",,,general,"Mpema ne sait pas faire : le faire abandonner, le faire pâtisser, tout n’a pas raté. Il t'a pris un arbre,",,,,,,117.0
,"Mu 1973, igihehabaye inagurwa ry’igisata c’indero(ryiswe “Kirundisation”), ururimi rw’Ikirundi rwahawe ikibanza kinini cane.",,,general,"En 1973, lors de l'expansion du système administratif (appelée « kirundisation »), la langue kurde occupe une très grande place.",,,,,,124.0
,"Mu 2011, ibiro vya Unesco bifadikanije n’ubushikiranganji bw’imicokama vyaratunganije icigwa cakozwe n’abahinga mu vy’indimi",,,general,"En 2011, le bureau de l'UNESCO en collaboration avec le ministère de la Culture a préparé une étude réalisée par des linguistes.",,,,,,124.0
,"Mu 2016, naragerageje kugereranya uko ururimi rw’ikirundi ruzoba rumeze mu myaka iza, hano mu gisagara ca Bujumbura",,,general,"En 2016, j'ai essayé d'estimer ce que sera la langue kurde dans les années à venir, ici dans la ville de Bujumbura.",,,,,,115.0
,Mu Burundi abana batangura amashure yisumbuye bafise imyaka icumi n'ibiri canke icumi n'itatu iyo batahitiye,,,general,"Au Burundi, les enfants commencent",,,,,,108.0
,"Mu Burundi, iyo serugo yitavye Imana, umupfasoni asize ntaba afise uruhusha rwo guhaguruka ngo avuge ijambo kw’izina ry’umurango",,,general,"Au Burundi, si le prêtre abandonne Dieu, la personne laissée sur place n'aura pas le droit de se lever et de prononcer une parole au nom du prêtre.",,,,,,128.0
,"Mu barenga imiliyaridi indwi z’abantu bari kw’isi, abashobora kuvuga ikirundi sibenshi cane",,,general,"Sur plus de sept milliards d’habitants dans le monde, très peu d’entre eux savent parler une autre langue.",,,,,,91.0
,"Mu bijanye n’ubutunzi, imbere ya vyose ni abanyagihugu nyene",,,general,"En termes de richesse, ce sont d'abord les citoyens eux-mêmes",,,,,,60.0
,"Mu bindi bihugu, iyo ururimi kavukire rufashwe nk’ururimi rw’igihugu, ruca rufata ikibanza kidasanzwe",,,general,"Dans d'autres pays, lorsque la langue maternelle est considérée comme langue nationale, elle occupe une place particulière",,,,,,101.0
,Mu bisanzwe amashure yisumbuye agizwe n'ibice bibiri,Les écoles secondaires sont généralement divisées en deux parties,,general,Les écoles secondaires sont généralement divisées en deux parties,,,,,,52.0
,"Mu bisanzwe, ni ryo tegeko ryabwirizwa kuba rigenga inyandiko y’Ikirundi ubu, mugabo ntiriratangura gukoreshwa",,,general,"Normalement, c'est la loi qui était censée régir l'écriture ourdou aujourd'hui, mais elle n'a pas encore été appliquée.",,,,,,110.0
,"Mu gatondo ka kare barampitana, basanga niteguye, nahejeje kwiyoga n’ugufungura.",,,general,"Tôt le matin, ils m'ont vu, ils ont constaté que j'étais prêt, j'avais fini de faire de l'exercice et de manger.",,,,,,80.0
,Mu gice ca mbere abana bamara imyaka ine ku ntebe y'ishure,"Dans la première partie, les enfants passent quatre ans à l'école",,general,"Dans la première partie, les enfants passent quatre ans à l'école",,,,,,58.0
,"Mu gihe Icegera c’Umukuru w’igihugu atanze imihoho,asandavye haragenwa Icegera c’Umukuru w’igihugu mushasha wo mu bwoko n’umugambwe umwe.",,,general,"En cas de démission du Chef de l'Etat, un nouveau Chef de l'Etat sera nommé par la même tribu.",,,,,,137.0
,Mu gihe Uburundi buri mu bihugu bike kw’isi bifise ururimi kavukire rumwe,,,general,Bien que le Burundi soit l'un des rares pays au monde à avoir une seule langue maternelle,,,,,,73.0
,"Mu gihe Umukuru w’igihugu atanze imihoho, asandavye asubirirwa n’Umukuru w’Inama nshingamateka.",,,general,"Lorsque le chef de l'État prête serment, le chef du Conseil législatif lui répond.",,,,,,95.0
,"Mu gihe c’ici, canecane muri Mukakaro, hama hari izuba igihe cose ku mutaga. Kubera uruzuba, isi ica igaduka igaturira cane.",,,general,"En été, surtout en janvier, il y avait toujours du soleil pendant la journée. Grâce au soleil, le monde devient très beau.",,,,,,124.0
,"Mu gihe c’intambara, abana bategerezwa gukingirwa.","En temps de guerre, les enfants doivent être protégés.",,general,"En temps de guerre, les enfants doivent être protégés.",,,,,,50.0
,"Mu gihe c’ubukoroni babona ko Umuzungu ari umuntu w’igitangaza, hakaba abamwitoneshako n’abamutinya",,,general,"Pendant la période coloniale, ils ont vu que l’homme blanc était une personne merveilleuse, et qu’il y avait ceux qui l’aimaient et ceux qui le craignaient.",,,,,,99.0
,Mu gihe kabaza ko ukomeye mu bihimba vy’irondoka,,,general,Alors qu'il dit qu'il est fort parmi les membres de la famille,,,,,,48.0
,"Mu gihe rero Abarundi benerwo batorwijukira, bakishinga cane izo zindi ndimi mvamahanga.",,,general,"Quand les Frères burundais ne doivent pas rejeter ces autres langues étrangères, ils sont très prononcés envers ces autres langues étrangères.",,,,,,88.0
,"Mu gihe ryari irya mbere ndahahonyoza ikirenge, narazimiye, bisaba ko ndondera uwunzimurura",,,general,"Alors que la première fois que je me suis lavé les pieds, j'étais perdu, je veux dire que je cherchais la récolte",,,,,,91.0
,"Mu gihe vyoguma uko, uko imyaka izohera, dushobora gutakaza Ikirundi cacu, tugasanga dusigaye twivugira Ikirundi gike kivanze n’amajambo menshi y’indimi mvamahanga",,,general,"Si cela reste ainsi, au fil des années, nous risquons de perdre notre ourdou et de nous retrouver à parler un peu d'ourdou mélangé à de nombreux mots de langue étrangère.",,,,,,163.0
,"Mu gitondo, iyo Mvuyekure ashitse kw’ishure, nta co akora ataramukije abagenzi.",,,general,"Le matin, quand il vient à l'école, il ne fait rien, il n'est pas partant pour des amis.",,,,,,79.0
,"Mu gitondo, mushikanje bamurungitse gusuma. Ashitse mw’isoko, agura ubushaza, ibiraya, inyama, imboga n’imihwi.",,,general,"Dans la matinée, ils l'ont soigneusement renvoyé chez lui. En arrivant au marché, il achète des petits pois, des légumes, de la viande, des légumes et des moineaux.",,,,,,111.0
,"Mu gutora, abanyagihugu bashobora kwitorera bo nyene abategetsi canke bagatora ababaserukira mu gutora abo bategetsi nk’uko bitegekanijwe n’Ibwirizwa.",,,general,"En votant, les citoyens peuvent voter pour les dirigeants eux-mêmes ou voter pour leurs successeurs en votant pour ces dirigeants, comme le stipule la loi.",,,,,,150.0
,"Mu kinyamakuru natanguriyemwo, bahamagaye abize indimi n’amayagwa vya Afirika ngo bazane amadosiye bahiganirwe kuronka akazi, baca barangomwa",,,general,"Dans le journal que j'ai créé, on a appelé des linguistes africains pour qu'ils apportent des dossiers et concourent pour des emplois, et ils ont été rejetés.",,,,,,141.0
,"Mu kugisoroma, barafurura mu kuzimu bagakurayo imyaho ( amagoma)",,,general,"En le récitant, ils sont soulevés des enfers et éliminent les aigles.",,,,,,64.0
,Mu kurangura iryo banga bashigikirwa n’igihugu n’amakomine.,,,general,"Pour réaliser ce secret, ils sont soutenus par l'État et les municipalités.",,,,,,59.0
,"Mu kwugurura ibikorwa vy’iryo sabukuru, eka mbere no mu kubisozera, bakoresheje ururimi kavukire rwabo",,,general,"En ouvrant les activités de cet anniversaire, tant avant qu'à la clôture, ils ont utilisé leur langue maternelle",,,,,,102.0
,"Mu majambo make, abantu, na cane cane urwaruka, baribakwiye kwijukira kuryohora inyandiko yabo.",,,general,"Dans peu de temps, les gens, et en particulier les jeunes, devraient être disposés à améliorer leur écriture.",,,,,,95.0
,"Mu mashure, bakenyere zigume bagihe umwanya ukwiye, abacigisha bakarihirizwe ubwenge, kandi ubutohozi bubandanye",,,general,"Dans les écoles, les élèves disposent de suffisamment de temps, les enseignants sont dotés de sagesse et la discipline est partagée.",,,,,,112.0
,"Mu matangazo, mu makoraniro yo guhanahana ivyiyumviro, eka n’ahandi hose abantu bakoraniye bavuga ku karanga",,,general,"Dans les émissions, lors de séances de brainstorming ou partout ailleurs, les gens se réunissent pour parler de cacahuètes",,,,,,108.0
,"Mu mayagwa n’imigenzo vy’ikirundi, hari abemeza ko umwana atanguye guhoha ategerezwa kuvuga se wiwe; ati: “da da da”",,,general,"Dans les traditions et coutumes du Kurdistan, certains croient que lorsqu'un enfant commence à pleurer, il doit le dire à son père ; il a dit ""da da da""",,,,,,116.0
,"Mu mpera z’umwka wa 2010, harabonetse ibikorwa vy’iterambere muri Gitega harimwo: Naho biri uko, haracari ibibazo vy’ukuntu ibikorwa bijana buhoro n’iterambere ry’igisagara",,,general,"Fin 2010, des activités de développement ont eu lieu à Gitega, notamment : Cependant, des questions subsistent sur la lenteur des activités et le développement de la ville.",,,,,,172.0
,Mu mwaka w'1903 niho catakaza intahe y’ukwikukira igihe hashikiye abadagi; umwami w’ico gihe Mwezi Gisabo akaba yasinyanye nabo Amasezerano y’i Kiganda,,,general,"En 1903, elle perdit sa preuve de protection lorsqu'elle fut envahie par les Allemands ; le roi de l'époque, Mwezi Gisabo, a signé avec eux l'accord de Kiganda.",,,,,,151.0
,"Mu mwaka wa 1961, ni ho uwundi mupatiri yitwa Francis Marie Rodegem yasohora na we nyene kazinduzi y’amajambo y’Ikirundi asiguye no mu Gifaransa.",,,general,"En 1961, un autre prêtre nommé Francis Marie Rodegem publia également une traduction des mots kurdes en français.",,,,,,145.0
,"Mu mwaka wa 2019, Reta y’Uburundi, ibicishije mu kigo CEBULAC vyari vyagize umugambi wo guteza imbere abanditsi bandika mu Kirundi",,,general,"En 2019, le Gouvernement du Burundi, à travers l'institut CEBULAC, avait un plan pour promouvoir les écrivains qui écrivent au Burundi.",,,,,,130.0
,Mu mwihwezo nakoze ku bantu cumi nasavye batore ijambo ry’Ikirundi twokoresha.,,,general,"En fin de compte, j'ai demandé à dix personnes de choisir le mot ourdou à utiliser.",,,,,,78.0
,Mu myaka umunani maze ntanguye kwihweza ubwiza bw’urwo rurimi n’ikoreshwa ryarwo.,,,general,"En huit ans, j'ai commencé à admirer la beauté de cette langue et son usage.",,,,,,81.0
,"Mu ndwi iheze, mwene mamawacu yaraje kuturamutsa. Ese ingene twari tumukumbuye!",,,general,"La semaine dernière, ma mère est venue nous saluer. Comme nous l'avons réprimandé !",,,,,,79.0
,"Mu ntango z’umwaka bakagira amafundo cumi n’abiri, ukwezi guheze bagaheza bagaca ipfundo rimwe gushika ayo mapfundo aheze, gutyo bakamenya ko umwaka uheze",,,general,"Au début de l'année ils ont douze nœuds, à la fin du mois ils coupent un nœud jusqu'à ce que ces nœuds soient finis, ainsi ils savent que l'année est finie.",,,,,,154.0
,Mu ntara ya Muyinga hariyo ikomine bita Butihinda nayo iyo komine irimwo inzahabu nyinshi,,,general,Dans la province Muyinga il y a une commune appelée Butihinda et cette commune contient beaucoup d'or.,,,,,,89.0
,"Mu ntumbero yo gutsimbataza intwaro rusangi, Ibwirizwa rirashobora kurekurira imigambwe kuronka imfashanyo ku buryo bungana.",,,general,"Dans le but de favoriser le bien commun, l'Ordre peut prévoir des mesures pour obtenir des aides de manière équitable.",,,,,,124.0
,"Mu ntumbero yo kugarukira ururimi rw’Ikirundi, icihutirwa kandi ata n’umwe akideha, ni uko hojaho urwego nshingwakirundi",,,general,"Afin de limiter l'usage de la langue ourdou, il est urgent et personne n'abandonne qu'un niveau soit instauré en ourdou.",,,,,,120.0
,"Mu ntwaro, abarundi bose bategerezwa kuba baserukiwe bikwiye mu budasa bwa bo.",,,general,"Dans les armes, tous les autres doivent être correctement représentés dans leur diversité.",,,,,,78.0
,"Mu nyandiko, vyagumye bityo, ariko mu buzima bw’igihugu, ururimi rw’Igifaransa ni rwo rwagumye rufata iya mbere",,,general,"A l'écrit, elle le resta, mais dans la vie du pays, la langue française continua à primer.",,,,,,111.0
,"Mu nyuma ku ntwaro y'Ababirigi gitakaza Ubugufi, imwe mu ntara yari nini, ica yegukira igihugu ca Tanzaniya",,,general,"Plus tard, l'armée belge a perdu Ukubu, l'une des plus grandes provinces, et elle a été acquise par la Tanzanie.",,,,,,107.0
,"Mu nyuma, uwo mugambi wagiye urasubira inyuma nk’ibirenge, ntiwigeze ushika ku ntego wari wagenewe",,,general,"En fin de compte, le plan a fait des allers-retours, sans jamais atteindre son objectif prévu.",,,,,,98.0
,"Mu nzira baza barasimba umugozi. Ako gakino baragakunda cane kuko karabatebukana. Kigeme asimba nabi, awuhonyorako uracika.",,,general,"Sur la route, ils frappent. Le jeu est d'autant plus intéressant qu'il est époustouflant. Kage s'est infiltré et il l'a plongé.",,,,,,123.0
,Mu ruganda rwo guhanahana ivyiyumvirokw’inagurwa ry’ururimi rw’Ikirundi,,,general,Dans l'échange d'idées pour l'expansion de la langue ourdou,,,,,,71.0
,"Mu vyo rujejwe, rurakwikirana ingene urwo rurimi rukoreshwa, uko rutera imbere, rukemeza amajambo mashasha iyo bikenewe",,,general,"Sous sa responsabilité, il s'adapte à l'usage de la langue, au fur et à mesure de son évolution, et approuve les nouveaux mots lorsque cela est nécessaire.",,,,,,119.0
,"Mu vy’ukuri, dukwiriye guha agaciro Ikirundi mu kukivuga tutakivanze n’ikinyamazuru; n’aho bigoye",,,general,"En fait, nous devrions valoriser l’ourdou en le parlant sans le mélanger avec un son nasal ; et où c'est difficile",,,,,,97.0
,"Mubijanye na kahise naho Igisagara ca Bujumbura, ku Badagi n'aba Birigi citwa Usumbura kikaba carigisagara c'ibihugu bibiri navyo bikaba vyari Uburundi n'Urwanda",,,general,"Par rapport au passé, la région de Bujumbura, pour les Danois et les Belges, s'appelle Usumbura, qui était une ville de deux pays qui étaient le Burundi et le Rwanda.",,,,,,161.0
,"Mugabo aramwihaniza ati: «Urazi ko mama yatwihanije kwonona imirima itarera, none rero ntihagire ico uvuga.»",,,general,"Mais il lui dit : « Tu sais que ma mère nous a corrompus à travers les rochers, alors ne parlons pas. »",,,,,,108.0
,"Mugabo hariho kamwe k’ikigaba kijana konyene. Nyina ikama ikabwira ngo kabihebe, ariko bigaca inyuma y’amatwi.",,,general,"Mais il n’en existe qu’une partie. Sa mère lui a dit d'abandonner, mais il s'est coupé derrière les oreilles.",,,,,,110.0
,"Mugabo niko, irarira ryayo ni akaroruhore. Nta muntu yohirahira ngo atwegerere urugo ariho iri.",,,general,"Mais alors, pleurant sa paume. Personne ne peut jurer de regarder la maison.",,,,,,95.0
,"Mugabo ntiwumve gutyo, sinirukanwa no gutinya igihano : nta kintu kinezereza, nk’iyo bariko baduza ibendera ry’igihugu cacu;",,,general,"Mais ne le pensez pas, je ne suis pas motivé par la peur du châtiment : rien ne me rend heureux, comme lorsqu'ils arborent le drapeau de notre pays ;",,,,,,124.0
,"Mumukure ku mano mumushitse ku mutwe. Erega we, umengo ni bizirana n’amazi. Isabuni yo ntuvuge.",,,general,"Emmenez-le des pieds à la tête. Après tout, l’arbre connaît l’eau. Le savon ne parle pas.",,,,,,95.0
,"Munzira, tuhahurira n’abandi bana. Tyo tubonye batanguye gufyina, duca tubasiga, tukibandaniriza.",,,general,"Sur la route, nous rencontrons d'autres enfants. Quand nous voyons qui ont commencé à se donner, nous les laissons et continuons.",,,,,,97.0
,Muramenye:  Agakwabu ko hejuru (apostrophe) ni ako gutandukanya amajambo abiri igihe irya mbere ari akagetugetu,,,general,A savoir : Obalances ci-dessus (astrophet) consiste à distinguer deux mots lorsque le premier est un engrenage.,,,,,,111.0
,"Muramvya ifise n'ayandi mavuriro menshi matomato kuri buri komine ndetse hari n'ama komine usanga afise amavuriro abiri, atatu n'ayarenga",,,general,"Muramvya compte de nombreuses autres cliniques dans chaque municipalité et certaines municipalités en ont deux, trois ou plus.",,,,,,137.0
,"Muramvya ni igisagara kimwe mubisagara bigize igihugu c'Uburundi, Muramvya kandi ni intara imwe muntara icumi n'umunani zigize igihugu ciza c'Uburundi",,,general,M.,,,,,,150.0
,Muranyumva neza simvuze ngo twambare imbega canke iz’ibiti,,,general,"Si tu te sens bien, je ne dis pas qu'il ne faut pas maintenant habiller les épingles ou le bois",,,,,,58.0
,Murenganijwe sinswaganya ndababuranira. Erega n’abagenzi bazanwa nikiyago.,,,general,"Vous êtes juste, je ne leur en veux pas. Après tout, même les passagers sont victimes du désastre.",,,,,,74.0
,"Muri 1973, ni ho inagurwa ry’igisata c’indero mu guha ishusho ndundi ishure ry’ico gihe,",,,general,"En 1973, il y a eu l'agrandissement du tableau de discipline pour donner une image à une autre école de l'époque,",,,,,,88.0
,Muri 2008 cari gifise uburinganire bungana n'ibirometero kwadarato 87 ubu naho kikaba kigeze ku birometero kwadarato 127(ijana na mirongo ibiri nk'indwi),,,general,"En 2008, sa superficie était de 87 kilomètres carrés et elle atteint aujourd'hui 127 kilomètres carrés (cent vingt-sept).",,,,,,153.0
,"Muri Ruhuhuma umwaka wa 2005, Abarundi barahamagariwe kwemeza irindi bwirizwa shingiro biciye mu matora",,,general,"À Ruhuhuma en 2005, les Burundais ont été appelés à approuver une autre constitution par le biais d'élections.",,,,,,103.0
,"Muri ako kanya nyene, Niyonzima aho gutamarirwa, yaciye yitera mu nzu, arasahura impuzu, ibisaswa, eka m’ibindi ashoboye guterura.",,,general,"En même temps, au lieu de rejeter ses propres yeux, il se frappa, pilla ses vêtements, ses emballages et s'enfuit.",,,,,,130.0
,"Muri bitatu nasavye, harimwo igisata c’Indimi n’Amayagwa vyo muri Afirika",,,general,"Parmi les trois que j'ai demandé, il y avait un tableau des langues et langues africaines",,,,,,73.0
,"Muri ico gihe baba bariko batema amahonda, haba kandi ari mw’iyera ry’ibiharage n’ubushaza",,,general,"Ils sont toujours méprisés, à la fois dans le saint, le saint et dans la déviation",,,,,,90.0
,"Muri ico gihe, ivyirwa abana biga biba bishimikiye ku ndimi canke ku biharuro",,,general,"Aujourd'hui, les enfants apprennent à partir des langues ou des chiffres.",,,,,,77.0
,"Muri ico gihe, mu nzu bariko baracumba. Ivyo vyose, babigira wa muhungu akanyamuneza kamusya.",,,general,"En ce moment, à la maison. Tout cela, ils le font et lui donnent de la joie.",,,,,,93.0
,Muri ico gisagara tuhasanga Ingoro Ndangamico y'Uburundi na Arkidiyosezi ya Gitega,,,general,Dans cette ville on trouve le Musée du Burundi et l'Archidiocèse de Gitega,,,,,,82.0
,"Muri iryo tora rya kabiri, uwarushije uwundi amajwi niwe yemezwa mw’ibanga ryo kurongora igihugu.",,,general,"Lors de la deuxième élection, celui qui obtient le plus de voix est celui qui est approuvé dans le secret du mariage avec le pays.",,,,,,97.0
,"Muri iyi myaka 20 iheze, nko mu bijanye n’ihanahana ry’amakuru, ubuhinga bwarateye imbere cane",,,general,"Au cours des 20 dernières années, comme dans le domaine de l'échange d'informations, la technologie a considérablement progressé.",,,,,,94.0
,Muri iyo ntumbero barashobora gutungwa n’akazi bahawe n’ukwandika,,,general,"Pour cela, ils peuvent être soutenus par le travail qui leur a été confié et par la rédaction",,,,,,65.0
,Muri iyo ntumbero nyene dusanga abazi kwandika neza ibikino rimwe na rimwe bashobora kuronka isoko kubakinyi b’amareresi.,,,general,"Pour la même raison, on constate que de bons dramaturges peuvent parfois trouver un marché pour les acteurs de télévision.",,,,,,121.0
,"Muri iyontumbero, kwandika neza birashobora gutanga akazi gashimishije kubabishoboye.",,,general,"En conséquence, une bonne écriture peut offrir une carrière enrichissante à ceux qui en sont capables.",,,,,,85.0
,"Muri kaminuza ho, uwutagiye mu gisata c’indimi, nta ho basubira guhurira n’Ikirundi.",,,general,"À l’université, si vous ne suivez pas les cours de langue, vous ne retrouverez plus jamais l’ourdou.",,,,,,84.0
,"Muri make, inyifato y’Umurundi yategerezwa kuba itagira agasembwa.",,,general,"Bref, le comportement d'Umurundi devait être impeccable.",,,,,,66.0
,"Muri ryo, handitse uku gukurikira :Ruzoba rugizwe n’abatohozandimi, abigisha, abazi gutora bishasha, abaserukira",,,general,"Dans celui-ci, il est écrit ce qui suit :",,,,,,112.0
,Muri ukwo kwezi haba izuba ryinshi n’inzara kuko ivyo baba barejeje mu kwezi kw’indwi n’ukumunani baba barabimaze bakwita kandi Karangazagisabo,,,general,"En ce mois-ci et la faim parce que ce qu'ils ont saisi dès le septième et le huitième mois, ils t'ont aussi appelé, aussi Kararapgisab",,,,,,143.0
,"Muri uwo mwaka nyene, hari uwaciye andondera, ampa akaraka ko kuza ndahinyanyura ibijanye n’Ikirundi mu mareresi yariko aratunganya.",,,general,"La même année, il y avait quelqu'un qui me cherchait, il m'appelait en ridiculisant le Kirundi au début de son organisation.",,,,,,132.0
,"Muringanira ni umukecuru w’amarara. Umunsi umwe, yumvise aho babaze, agenda ariruka, asanga inyama nzizanziza bazimaze.",,,general,"Murinangari est une sale vieille femme. Un jour, quand il entendit où ils demandaient, il courut et trouva de la bonne viande qu'ils avaient.",,,,,,119.0
,"Murumunawe ati: «Urumva nzyoye*.» Bukeye, Gakobwa agenda mw’isoko, aza azanye imivunde ibiri; na we Congera yarakunda cane imyumbati.",,,general,"Le frère cadet dit : <<Tu m'entends chanter*.>> Le lendemain, Gakobwa se rend au marché et rapporte deux paniers ; Congera aimait aussi les concombres.",,,,,,133.0
,Muti none mu bisanzwe urwo urwego nshingwarurimi rwoba rutunganijwe gute,,,general,Comment ce niveau de développement du langage est-il normalement organisé ?,,,,,,72.0
,Muyinga ni igisagara kimwe mubisagara bigize igihugu c'Uburundi,,,general,Muyinga est l'une des villes qui composent le pays du Burundi,,,,,,63.0
,"Mvuga mu kirundi (naho woba uriko uvuga izindi ndimi, urupfasoni rw’ikirundi rurategerezwa)",,,general,"Je parle en ourdou (même si vous parlez d'autres langues, la langue ourdou est indispensable)",,,,,,91.0
,Mvuyekure ati: «Hari ugica muri utwo tuyira amabarabarayaraje ? Uyaciyemwo urume arabaza. Itegereze na we amaguru yanje.»,,,general,"Il reprit : ""Vas-tu passer par là et tisser les routes ? Tu as vécu et tu as demandé. Et tu feras mes jambes.>>>",,,,,,121.0
,Mwogira mute mutamfise? Ni je ndima ni je ndabuhagira. Eka muri vyose ni je ndabatunze.,,,general,"Comment peux-tu t'avoir ? C'est moi qui le fais. En tout, j'ai des richesses.",,,,,,87.0
,"Mw’itegeko rigenga ikoreshwa ry’indimi mu Burundi, ryo muri Kigarama 2013",,,general,"Dans la loi réglementant l'usage des langues au Burundi, de décembre 2013",,,,,,73.0
,"Mw’itora nta jwi riruta irindi, kandi umuntu wese atora mu mwiherero, uko ashaka, agatorera ahazwi.",,,general,"Aux élections, aucun vote n'est meilleur qu'un autre, et chacun vote en privé, comme il l'entend, et vote dans un lieu connu.",,,,,,99.0
,"Mw’itunganywa ryayo n’ingene ikora, imigambwe itegerezwa kwisunga ingingo ngenderwako ziranga intwaro rusangi.",,,general,"Dans son organisation et son fonctionnement, le conseil doit adhérer aux principes qui caractérisent le gouvernement commun.",,,,,,110.0
,"Na ho aho akuye ikirenge, wogira haciye umusakanyiga. Ugira ngo",,,general,"Et là où il ôte son pied, tu lui couperas la parole. Tu dis",,,,,,63.0
,"Na twe nta kindi badushinze atari ukwiga.Ku mugoroba, twese duhwaniye i muhira, turayaga ;",,,general,Ils ne nous ont rien appris d'autre que d'étudier.,,,,,,90.0
,"Na yo Reta ikihutira gushiraho urwego nshingwakirundi, rwo rwofasha bikomeye mu guteza imbere no kunagura ikirundi maze amakemwa rufise agahera burundu",,,general,"Et le gouvernement s'est empressé de créer un organe exécutif pour le pays, ce qui contribuera grandement au développement et à l'expansion du pays et les problèmes existants seront complètement éliminés.",,,,,,151.0
,Na yo amavunja ari mu kumuhenura. Umushatsi usigaye ari ikigunda. Ntumubwire igisokozo woba umututse. Inda ni zo zisigaye zijejeta gusa.,,,general,Et les vœux étaient désespérés. Le reste des cheveux est un bouclier. Ne lui dis pas que tu serais en tournée. Les autres arrivent juste.,,,,,,136.0
,"Na yo nta handi irohera atari mu kanigo. Iyo abahigi batevye na gatoyi, basanga Gifokozi yahaze, izo mu nda yazihejeje.",,,general,"Et il n’y a aucun endroit où c’est meilleur que dans la cuisine. En avançant un peu plus longtemps, les chasseurs trouvèrent Gifokozi plein et le contenu de son estomac était vide.",,,,,,119.0
,Naciye ndacanka nsubira gusaba ibisata vy’indimi n’amayagwa vyo muri Afrika nyene,,,general,J'y suis ensuite retourné et j'ai demandé une liste des langues et langues africaines,,,,,,81.0
,"Nagize ngo ndacayikubita hasi, isigara mw’isemo, nanje nsigarana igice c’umuhini mu ntoke.",,,general,"Je l'ai frappé, et il est tombé sur le garçon, et j'ai aussi laissé un morceau de cruche dans la main.",,,,,,90.0
,"Naho biri uko, ikiremve yari indya iryoshe cane kandi y’abifise icogihe.",,,general,"Néanmoins, la sortie a été très intéressante et quelque peu culinaire.",,,,,,72.0
,"Naho bir’uko, kubw’uyo mutama, iyo ndamukanyo ngo hari abo itaramutswa yose, cane cane mu gace kabaza ko ari akavubu",,,general,"Cependant, à cause de cet homme, peu importe qu'il ne le tue pas, surtout en silence",,,,,,116.0
,"Naho nyene indimi mvamahanga twazisigaranye, Ikirundi cacu cagumye gifise ikibanza ca mbere",,,general,"Même si les langues étrangères ont été laissées, notre Kirundi a gardé la première place",,,,,,91.0
,Naho vyoca kure bokwisanga Ikirundi kiri muri wa mugwi w’indimi ziri mu kuzimangana.,,,general,"Même si vous allez loin, vous constaterez que l'Ikirundi appartient au groupe des langues en voie d'extinction.",,,,,,84.0
,Naka n’umwanditsi koko kuko aba ashoboye kwandika inkuru ziwe mu majambo aryohoye bigashimisha abazisoma,,,general,Et aussi l'écrivain car il est capable d'écrire ses histoires avec les mots qu'ils lisent à ceux qui les lisent.,,,,,,104.0
,Nambara mu kirundi : mu bisanzwe ibije vyose sintegerezwa kubikwirikira ntabanje kwirimbura,,,general,"Je vais le dire autrement : en général, je ne suis pas obligé de suivre tous les budgets sans y penser au préalable",,,,,,91.0
,"Namubwira ca gisata, ukaza wumva avuze ati :« None vyagufatiye hehe ngo wige ibintu ataho bizogushikana?",,,general,"Je lui ai parlé du département, vous l'avez entendu dire : « Où vous a-t-il fallu apprendre des choses qu'il n'y aura nulle part ?",,,,,,104.0
,Naratahuye ko urwo rurimi bishika rugakengerwa; kandi bigakorwa n’abari bakwiye kuruha ikibanza,,,general,J'ai réalisé que le langage était abusé ; et c'est fait par ceux qui devraient donner la place,,,,,,95.0
,"Nashitse i muhira nezerewe cane,nsanga mama ariko arakora utwo akora",,,general,Je suis arrivé à la maison très heureux et j'ai trouvé ma mère en train de faire ça,,,,,,68.0
,"Navuye kwiga nca aho Kayoya aragiye, nsanga ibijumbu yokeje birahiye,turabisangira. Ntiwokwumva ingene vyari biryoshe.",,,general,"Quand je suis sorti, j'ai trouvé les tabourets, je trouve que les tabourets étaient mis et nous les avons mangés. Vous n’entendrez pas à quel point c’est amusant.",,,,,,118.0
,Nayo abatunganya intonde z’ivyigwa bokwongereza umwanya urwo rurimi rwigwa mu mashure,,,general,Ils préparent également des listes de cours d'anglais lorsque cette langue est enseignée dans les écoles.,,,,,,85.0
,"Ncinjira kaminuza, hari abantwenze ngo nize ibitagira akamaro mu buzima",,,general,"J'entre au collège, certains rient d'avoir appris des choses",,,,,,71.0
